Sample	group1	group2	group3	group4	group5	group6	group7	group8	group9	group10	group11	group12	group13	group14	group15	group16	group17	group18	group19	group20
sample01	93	35	14	12	69	63	29	62	34	78	93	35	14	12	69	63	29	62	34	78
sample02	13	72	99	83	42	53	30	71	52	91	13	72	99	83	42	53	30	71	52	91
sample03	57	87	32	28	72	83	36	23	75	67	57	87	32	28	72	83	36	23	75	67
sample04	33	63	59	15	71	88	16	49	73	98	33	63	59	15	71	88	16	49	73	98
sample05	44	71	79	66	41	71	18	46	91	75	44	71	79	66	41	71	18	46	91	75
sample06	46	77	48	97	100	89	55	13	51	38	46	77	48	97	100	89	55	13	51	38
sample07	99	29	57	75	35	36	56	40	96	96	99	29	57	75	35	36	56	40	96	96
sample08	74	10	31	73	92	81	100	70	65	74	74	10	31	73	92	81	100	70	65	74
sample09	47	21	28	82	80	20	24	45	75	32	47	21	28	82	80	20	24	45	75	32
sample10	19	42	14	31	42	60	36	35	63	37	19	42	14	31	42	60	36	35	63	37
sample11	35	60	44	59	11	46	55	25	29	37	35	60	44	59	11	46	55	25	29	37
sample12	81	50	34	17	31	31	99	94	18	24	81	50	34	17	31	31	99	94	18	24
sample13	55	86	31	12	84	17	32	99	98	87	55	86	31	12	84	17	32	99	98	87
sample14	85	44	73	74	47	88	25	100	24	14	85	44	73	74	47	88	25	100	24	14
sample15	39	16	93	20	67	47	87	57	62	66	39	16	93	20	67	47	87	57	62	66
sample16	54	67	100	57	91	24	49	77	15	52	54	67	100	57	91	24	49	77	15	52
sample17	59	80	39	77	96	72	58	77	29	40	59	80	39	77	96	72	58	77	29	40
sample18	12	95	81	85	76	43	89	22	63	46	12	95	81	85	76	43	89	22	63	46
sample19	27	29	53	27	66	32	14	18	48	36	27	29	53	27	66	32	14	18	48	36
sample20	50	95	73	17	64	42	46	75	22	83	50	95	73	17	64	42	46	75	22	83
sample21	16	55	54	99	46	87	28	76	93	34	16	55	54	99	46	87	28	76	93	34
sample22	32	53	55	48	77	12	60	91	57	21	32	53	55	48	77	12	60	91	57	21
sample23	10	32	32	19	66	24	30	96	77	42	10	32	32	19	66	24	30	96	77	42
sample24	74	47	57	16	14	13	70	39	78	13	74	47	57	16	14	13	70	39	78	13
sample25	33	91	22	71	43	61	52	85	72	13	33	91	22	71	43	61	52	85	72	13
